"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 18:32:44 ICT 2022","Tue Nov 29 18:32:50 ICT 2022","6724","Demo Guru","Test login 1","com.training.demo.feature.ManageCustomer","com.training.demo.feature.ManageCustomer","TC02_Login","TC02_Login",""
"passed","Tue Nov 29 18:32:50 ICT 2022","Tue Nov 29 18:32:58 ICT 2022","8158","Demo Guru","Test login 1","com.training.demo.feature.ManageCustomer","com.training.demo.feature.ManageCustomer","TC03_NewCustomer","TC03_NewCustomer",""
"passed","Tue Nov 29 18:32:33 ICT 2022","Tue Nov 29 18:32:43 ICT 2022","10813","Demo Guru","Test login 1","com.training.demo.feature.ManageCustomer","com.training.demo.feature.ManageCustomer","TC01_Register","TC01_Register",""
